api,per_page,elapsed_time,body_size
rest,25,1.21764,573760
graphql,5,0.960849,28708
rest,5,0.551625,119856
graphql,25,2.642857,139236
rest,25,1.096761,573760
graphql,5,0.895937,28708
rest,5,0.502899,119856
graphql,25,2.702793,139236
rest,25,1.154084,573760
graphql,5,0.891171,28708
rest,5,0.573785,119856
graphql,25,2.868659,139236
rest,25,1.102295,573760
graphql,5,0.914298,28708
rest,5,0.468037,119856
graphql,25,2.546229,139236
rest,25,1.06948,573760
graphql,5,0.945565,28708
rest,5,0.505503,119856
graphql,25,2.892674,139236
rest,25,1.274722,573760
graphql,5,0.969111,28708
rest,5,0.544895,119856
graphql,25,2.720514,139236
rest,25,0.926164,573760
graphql,5,0.899433,28708
rest,5,0.58776,119856
graphql,25,2.560819,139236
rest,25,1.095703,573760
graphql,5,0.956157,28708
rest,5,0.500637,119856
graphql,25,2.642427,139236
rest,25,1.025097,573760
graphql,5,0.938273,28708
rest,5,0.533484,119856
graphql,25,2.471332,139236
rest,25,1.091206,573760
graphql,5,0.932593,28708
rest,5,0.583504,119856
graphql,25,2.834677,139236
rest,25,1.140922,573760
graphql,5,0.894156,28708
rest,5,0.512591,119856
graphql,25,2.484765,139236
rest,25,1.115126,573760
graphql,5,0.926876,28708
rest,5,0.519625,119856
graphql,25,2.83891,139236
rest,25,1.123719,573760
graphql,5,1.465124,28708
rest,5,0.564852,122204
graphql,25,2.452004,139236
rest,25,1.194532,573760
graphql,5,0.90783,28708
rest,5,0.492842,119856
graphql,25,2.770711,139236
rest,25,1.124927,573760
graphql,5,0.9412,28708
rest,5,0.500749,119856
graphql,25,2.610474,139236
rest,25,1.053543,573760
graphql,5,0.860191,28708
rest,5,0.504532,119856
graphql,25,2.495305,139236
rest,25,1.097054,573760
graphql,5,0.888231,28708
rest,5,0.547109,119856
graphql,25,2.609446,139236
rest,25,1.744233,573760
graphql,5,0.882331,28708
rest,5,0.496988,119856
graphql,25,2.423365,139236
rest,25,1.315412,573760
graphql,5,0.91277,28708
rest,5,0.537361,119856
graphql,25,2.583489,139236
rest,25,1.012248,573760
graphql,5,0.896573,28708
rest,5,0.522106,119856
graphql,25,2.953128,139236
rest,25,1.165069,574128
graphql,5,0.938789,28708
rest,5,0.558433,119856
graphql,25,2.65174,139236
rest,25,1.086219,573760
graphql,5,0.877174,28708
rest,5,0.557294,119856
graphql,25,2.337679,139236
rest,25,1.165243,573760
graphql,5,1.072137,28708
rest,5,0.492632,119856
graphql,25,2.685481,139236
rest,25,1.172602,573760
graphql,5,0.947512,28708
rest,5,0.547341,119856
graphql,25,2.640919,139236
rest,25,1.210076,573760
graphql,5,0.904973,28708
rest,5,0.557233,119856
graphql,25,2.554181,139236
rest,25,1.085455,573760
graphql,5,0.839203,28708
rest,5,0.511145,119856
graphql,25,2.582576,139236
rest,25,1.052167,573760
graphql,5,0.865176,28708
rest,5,0.538875,119856
graphql,25,2.722537,139236
rest,25,1.078061,573760
graphql,5,0.895874,28708
rest,5,0.606319,119856
graphql,25,2.722738,139236
rest,25,1.116653,573760
graphql,5,0.988689,28708
rest,5,0.496374,119856
graphql,25,2.766828,139236
rest,25,1.06862,573760
graphql,5,1.263062,28708
rest,5,0.498339,119856
graphql,25,2.990951,139236
rest,25,1.126252,573760
graphql,5,0.912546,28708
rest,5,0.56274,119856
graphql,25,2.671993,139236
rest,25,1.04323,573760
graphql,5,0.85346,28708
rest,5,0.539727,119856
graphql,25,2.388868,139236
rest,25,1.098463,573760
graphql,5,0.880546,28708
rest,5,0.526676,119856
graphql,25,2.679613,139236
rest,25,1.194656,573760
graphql,5,0.84003,28708
rest,5,0.509608,119856
graphql,25,2.796298,139236
rest,25,1.215425,573760
graphql,5,0.905891,28708
rest,5,0.47866,119856
graphql,25,2.810881,139236
rest,25,1.269192,573760
graphql,5,0.95868,28708
rest,5,0.465784,119856
graphql,25,2.772431,139236
rest,25,1.138923,573760
graphql,5,0.853761,28708
rest,5,0.63673,119856
graphql,25,2.833184,139236
rest,25,1.194416,573760
graphql,5,0.977146,28708
rest,5,0.585858,118744
graphql,25,2.537632,139236
rest,25,1.141408,573760
graphql,5,0.976913,28708
rest,5,0.540121,119856
graphql,25,2.457435,139236
rest,25,1.193739,573760
graphql,5,0.965672,28708
rest,5,0.581027,119856
graphql,25,2.656751,139236
rest,25,1.16601,573760
graphql,5,1.034446,28708
rest,5,0.506836,119856
graphql,25,2.875209,139236
rest,25,1.20253,573760
graphql,5,0.888582,28708
rest,5,0.558713,119856
graphql,25,2.580437,139236
rest,25,1.153016,573760
graphql,5,0.968898,28708
rest,5,0.56271,119856
graphql,25,2.854552,139236
rest,25,1.199066,573760
graphql,5,0.968705,28708
rest,5,0.690918,119856
graphql,25,3.708641,139236
rest,25,1.041096,573760
graphql,5,0.893849,28708
rest,5,0.502262,119856
graphql,25,2.621223,139236
rest,25,1.186707,573760
graphql,5,0.974741,28708
rest,5,0.552166,119856
graphql,25,2.714263,139236
rest,25,1.187668,573760
graphql,5,0.973912,28708
rest,5,0.492008,119856
graphql,25,2.564287,139236
rest,25,1.101229,573760
graphql,5,0.86489,28708
rest,5,0.454347,119856
graphql,25,2.408953,139236
rest,25,1.026328,573760
graphql,5,0.977818,28708
rest,5,0.560597,119856
graphql,25,2.750269,139236
rest,25,1.14462,573760
graphql,5,0.944725,28708
rest,5,0.641884,119856
graphql,25,2.49449,139236
rest,25,1.203461,573760
graphql,5,0.942755,28708
rest,5,0.633605,119856
graphql,25,2.480119,139236
rest,25,1.087213,573760
graphql,5,1.042827,28708
rest,5,0.497924,119856
graphql,25,2.434736,139236
rest,25,1.157426,573760
graphql,5,1.221212,28708
rest,5,0.502697,119856
graphql,25,2.472028,139236
rest,25,1.136005,573760
graphql,5,0.856854,28708
rest,5,0.615298,119856
graphql,25,2.508438,139236
rest,25,1.07216,573760
graphql,5,0.969758,28708
rest,5,0.498247,119856
graphql,25,2.594274,139236
rest,25,1.231144,573760
graphql,5,0.843714,28708
rest,5,0.531226,119856
graphql,25,2.518816,139236
rest,25,1.263375,573760
graphql,5,1.016337,28708
rest,5,0.545495,119856
graphql,25,2.742953,139236
rest,25,1.218262,573760
graphql,5,0.953091,28708
rest,5,0.517112,119856
graphql,25,2.902393,139236
rest,25,1.296721,573760
graphql,5,0.951564,28708
rest,5,0.502823,119856
graphql,25,2.826645,139236
rest,25,1.154164,573760
graphql,5,1.400921,28708
rest,5,0.56028,119856
graphql,25,2.351836,139236
rest,25,1.003511,573760
graphql,5,0.994376,28708
rest,5,0.506905,119856
graphql,25,2.669847,136540
rest,25,1.081935,573760
graphql,5,0.883061,28708
rest,5,0.55573,119856
graphql,25,2.717633,139236
rest,25,1.071693,573760
graphql,5,0.951927,28708
rest,5,0.598446,119856
graphql,25,2.561997,139236
rest,25,1.05883,573760
graphql,5,0.876576,28708
rest,5,0.58216,119856
graphql,25,3.520315,139236
rest,25,1.140367,573760
graphql,5,0.86844,28708
rest,5,0.525829,119856
graphql,25,2.52923,139236
rest,25,1.121969,573760
graphql,5,0.927901,28708
rest,5,0.4825,119856
graphql,25,2.695183,139236
rest,25,1.083589,573760
graphql,5,0.980089,28708
rest,5,0.537945,119856
graphql,25,2.223103,139236
rest,25,1.309923,573760
graphql,5,0.913983,28708
rest,5,0.546915,119856
graphql,25,2.767714,139236
rest,25,1.14932,573760
graphql,5,0.920703,28708
rest,5,0.505943,119856
graphql,25,2.683832,139236
rest,25,1.127347,573760
graphql,5,1.343035,28708
rest,5,0.580928,119856
graphql,25,2.754417,139236
rest,25,1.231183,573760
graphql,5,0.929891,28708
rest,5,0.54962,119856
graphql,25,2.740686,139236
rest,25,1.167104,573760
graphql,5,0.919209,28708
rest,5,0.491633,119856
graphql,25,2.520214,139236
rest,25,1.117108,573760
graphql,5,0.913066,28708
rest,5,0.558006,119856
graphql,25,2.613347,139236
rest,25,1.055298,573760
graphql,5,1.074234,28708
rest,5,1.322591,119852
graphql,25,2.638146,139236
rest,25,1.178786,573760
graphql,5,0.96249,28708
rest,5,0.484962,119856
graphql,25,2.474211,139236
rest,25,1.093603,573760
graphql,5,0.944763,28708
rest,5,0.500988,119856
graphql,25,2.495667,139236
rest,25,1.04886,573760
graphql,5,0.923775,28708
rest,5,0.49662,119856
graphql,25,2.714574,139236
rest,25,1.125307,573760
graphql,5,0.964276,28708
rest,5,0.594238,119856
graphql,25,2.878121,139236
rest,25,1.282207,573760
graphql,5,0.96181,28708
rest,5,0.533431,119856
graphql,25,2.691012,139236
rest,25,1.081449,573760
graphql,5,0.986727,28708
rest,5,0.582307,119856
graphql,25,2.541471,139236
rest,25,1.114629,573760
graphql,5,0.905188,28708
rest,5,0.479866,119856
